City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Blair,IN,81.48,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
5,Vieux-Habitants,GP,80.17,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
19,Bilma,NE,87.89,few clouds,18.6853,12.9164,Expeditions Ténére voyages
29,Rikitea,PF,77.38,light rain,-23.1203,-134.9692,People ThankYou
32,Kloulklubed,PW,79.45,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
34,Bandarbeyla,SO,81.12,clear sky,9.4942,50.8122,JABIR HOTEL
38,Richards Bay,ZA,75.42,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
39,Bustamante,MX,80.62,few clouds,26.5333,-100.5,Hotel Hacienda los Nogales
40,Atuona,PF,78.22,scattered clouds,-9.8,-139.0333,Villa Enata
41,Victoria,HK,75.18,scattered clouds,22.2855,114.1577,Mini Hotel Central
49,Puerto Ayora,EC,80.56,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Isangel,VU,79.99,overcast clouds,-19.55,169.2667,Tanna Lodge
57,Faanui,PF,82.0,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Padang,ID,76.59,few clouds,-0.9492,100.3543,Mercure Padang
65,Dunmore Town,BS,76.51,overcast clouds,25.5,-76.65,Coral Sands Hotel
68,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
74,Tahta,EG,83.3,overcast clouds,26.7693,31.5021,فندق الزيات
80,Axim,GH,84.54,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
89,Namatanai,PG,79.11,light rain,-3.6667,152.4333,Seagulls Inn Namatani
90,Wajir,KE,88.32,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
91,Cockburn Town,TC,76.86,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
92,Karratha,AU,85.17,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
96,Sao Jose Da Coroa Grande,BR,83.28,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
