City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,20.39,92,84,1.63,broken clouds
1,Port Blair,IN,11.6667,92.75,81.48,75,19,6.17,few clouds
2,Sao Filipe,CV,14.8961,-24.4956,72.28,75,6,12.48,clear sky
3,Karasjok,NO,69.4719,25.5112,15.46,90,99,5.28,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-22.49,100,99,7.05,overcast clouds
5,Vieux-Habitants,GP,16.0589,-61.7659,80.17,68,78,12.68,broken clouds
6,Yellowknife,CA,62.456,-114.3525,16.41,91,100,10.87,overcast clouds
7,High Level,CA,58.5169,-117.136,30.31,86,75,12.66,light snow
8,Cherskiy,RU,68.75,161.3,-15.07,100,99,4.43,overcast clouds
9,Piet Retief,ZA,-27.0071,30.8132,61.61,74,0,2.89,clear sky
10,Hilo,US,19.7297,-155.09,70.25,86,75,4.61,broken clouds
11,Dikson,RU,73.5069,80.5464,12.81,93,80,7.25,broken clouds
12,Ust-Nera,RU,64.5667,143.2,-14.69,99,49,1.81,scattered clouds
13,Severo-Kurilsk,RU,50.6789,156.125,29.34,92,93,17.11,light snow
14,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,5.39,light rain
15,Diamantino,BR,-14.4086,-56.4461,67.57,96,98,7.31,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,46.02,88,100,1.41,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,66.34,73,42,4.0,scattered clouds
18,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,11.5,scattered clouds
19,Bilma,NE,18.6853,12.9164,87.89,3,24,6.02,few clouds
20,Chara,RU,56.9064,118.2631,7.81,63,33,2.51,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,51.42,62,40,11.5,scattered clouds
22,Putina,PE,-15.4667,-69.4333,48.0,63,91,5.01,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,21.85,69,40,5.97,scattered clouds
24,Pevek,RU,69.7008,170.3133,-23.69,99,93,5.39,overcast clouds
25,Jamestown,US,42.097,-79.2353,68.02,55,75,25.32,broken clouds
26,Talnakh,RU,69.4865,88.3972,16.21,93,77,5.28,broken clouds
27,Migori,KE,-1.0634,34.4731,67.1,81,80,3.42,light rain
28,Tuatapere,NZ,-46.1333,167.6833,47.32,87,100,3.96,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,77.38,72,52,17.49,light rain
30,Katsuura,JP,35.1333,140.3,49.87,88,100,24.16,light rain
31,Chapais,CA,49.7834,-74.8492,31.78,96,100,13.18,snow
32,Kloulklubed,PW,7.0419,134.2556,79.45,80,100,3.42,overcast clouds
33,Kapaa,US,22.0752,-159.319,73.72,94,75,12.66,broken clouds
34,Bandarbeyla,SO,9.4942,50.8122,81.12,81,9,11.97,clear sky
35,Kodiak,US,57.79,-152.4072,38.71,100,100,23.02,light rain
36,Safford,US,32.834,-109.7076,66.11,45,0,8.05,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,53.71,47,75,24.16,broken clouds
38,Richards Bay,ZA,-28.783,32.0377,75.42,81,5,9.44,clear sky
39,Bustamante,MX,26.5333,-100.5,80.62,16,23,1.43,few clouds
40,Atuona,PF,-9.8,-139.0333,78.22,73,30,9.84,scattered clouds
41,Victoria,HK,22.2855,114.1577,75.18,83,31,15.99,scattered clouds
42,Waipawa,NZ,-41.4122,175.5153,54.48,94,88,4.5,overcast clouds
43,Busselton,AU,-33.65,115.3333,71.98,67,0,12.03,clear sky
44,Mezhdurechenskiy,RU,59.6,65.9333,14.63,93,85,4.56,overcast clouds
45,Clyde River,CA,70.4692,-68.5914,6.55,88,68,3.62,broken clouds
46,Fortuna,US,40.5982,-124.1573,51.93,75,40,11.5,scattered clouds
47,De Aar,ZA,-30.6497,24.0123,65.97,62,70,4.56,moderate rain
48,Esperance,AU,-33.8667,121.9,64.29,80,95,19.51,overcast clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,80.56,76,86,7.05,moderate rain
50,Kaitangata,NZ,-46.2817,169.8464,48.13,74,100,6.24,overcast clouds
51,Isangel,VU,-19.55,169.2667,79.99,87,92,5.3,overcast clouds
52,Hobart,AU,-42.8794,147.3294,55.26,72,100,11.5,overcast clouds
